Interaction	COE	PWM	CLUSTER	DH	CNS	ChIP	GENIE3	KNN	Class
AT1G01060_AT1G04400	0	0	0	0	0	0	0	0	1
AT1G01060_AT1G11360	0	0	0	0	0	0	0	0	0
AT1G01060_AT1G20290	0	5.49	1.66	0	0	0	0	0	0
AT1G01060_AT1G22770	0.575749	0	0	0	0	0	0.00876471446884286	0	1
AT1G01060_AT1G32900	0	0	0	0	0	0	0	0	1
AT1G01060_AT1G33970	0	0	0	0	0	0	0	0	0
AT1G01060_AT1G65480	0	6.32	3.97	0	0	0	0	0	1
AT1G01060_AT1G67100	0	5.22	3.83	0	0	0	0	0	0
AT1G01060_AT2G21660	0.540785	5.37	3.64	0	0	0	0.0218211512263539	3.62841129679208	1
AT1G01060_AT2G25052	0	0	0	0	0	0	0	0	0
AT1G01060_AT2G29680	0	0	0	0	0	0	0	0	0
AT1G01060_AT2G29940	0	5.16	1.25	0	0	0	0	0	0
AT1G01060_AT2G39240	0	6	2.2	0	0	0	0	0	0
AT1G01060_AT2G40080	0.51073	0	0	0	0	0	0.0141844495770013	0	1
AT1G01060_AT2G46790	0	0	0	0	0	0	0.00537049644943155	0	1
AT1G01060_AT3G04732	0	0	0	0	0	0	0	0	0
AT1G01060_AT3G10970	0	0	0	0	0	0	0	0	0
AT1G01060_AT3G18930	0	0	0	0	0	0	0	0	0
AT1G01060_AT3G19860	0	0	0	0	0	0	0	0	0
AT1G01060_AT3G25710	0	5.81	2.37	0	0	0	0	0	0
AT1G01060_AT3G27260	0	5.26	1.32	0	0	0	0	3.45178384279397	0
AT1G01060_AT3G27960	0	0	0	0	0	0	0	0	0
AT1G01060_AT3G46640	0.479831	5.52	1.72	0	10	0	0	3.62841129679208	1
AT1G01060_AT3G52500	0	5.11	1.4	263	0	0	0	0	0
AT1G01060_AT3G57550	0	5.64	3.61	0	3	0	0	0	0
AT1G01060_AT3G62230	0	0	0	0	0	0	0	0	0
AT1G01060_AT4G03410	0	0	0	0	0	0	0	0	0
AT1G01060_AT4G22990	0	5.46	2	0	0	0	0	0	0
AT1G01060_AT4G24240	0	5.07	2.8	0	0	0	0	0	0
AT1G01060_AT4G28620	0	0	0	0	0	0	0	0	0
AT1G01060_AT4G36250	0	5.97	2.07	0	0	0	0	0	0
AT1G01060_AT5G01015	0	5.8	2.62	0	0	0	0	0	0
AT1G01060_AT5G02810	0	0	0	0	0	0	0	0	1
AT1G01060_AT5G05860	0	5.23	2.21	0	0	0	0	0	0
AT1G01060_AT5G07680	0	6.12	2.48	0	0	0	0	0	0
AT1G01060_AT5G09805	0	0	0	0	0	0	0	0	0
AT1G01060_AT5G15840	0	0	0	0	0	0	0	0	1
AT1G01060_AT5G39610	0	5.09	1.74	0	0	0	0	0	0
AT1G01060_AT5G52020	0	0	0	0	0	0	0	0	0
AT1G01060_AT5G55120	0	0	0	0	0	0	0	0	0
AT1G01060_AT5G61380	0.428425	0	0	0	0	0	0	0	1
AT1G01060_AT5G61420	0	0	0	0	0	0	0	0	0
AT1G01060_AT5G63620	0	0	0	0	0	0	0	0	0
AT1G01060_AT5G64660	0	0	0	0	0	0	0	0	0
AT1G01260_AT1G05020	0	5.52	2.1	1576	0	0	0	0	0
